Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights
sas,1.4,paramedic,2.2,extramarital,2.6,parenthood,3.5,islam,0.7,ecchi,5.1,surrealism,6.5,stockholm,1.2,cheerleading,1.0,astronomy,2.4,comedy,180.2,mcu,8.4,dinosaur,3.9,reaper,2.3,filmmaking,2.3,startup,1.7,anime,54.9,trek,3.4,bionic,2.4,mermaid,2.5
autism,1.0,wormhole,2.1,hologram,2.1,psychotherapist,1.7,approved,0.5,yakuza,2.5,housewife,2.2,quiz,1.1,apps,0.8,vatican,2.2,crime,134.5,marvel,4.8,prehistoric,2.4,renaissance,2.1,folklore,2.2,skating,1.3,manga,33.7,simpler,3.1,catholicism,2.3,sonic,2.0
aging,0.7,mushroom,0.9,downstairs,1.5,ncis,1.7,gianni,0.4,viking,2.1,puberty,1.2,tulsa,0.9,zeitgeist,0.7,arcadia,1.8,animation,116.1,cinematic,4.4,ghoul,1.6,underwater,1.5,morgue,1.9,impostor,1.2,shounen,16.7,hawaii,2.2,ottoman,2.2,scooby,1.8
crab,0.7,grandparent,0.8,mossad,1.5,utopia,1.6,ramsay,0.4,oslo,1.8,shaman,1.1,vigilantism,0.9,modeling,0.5,plantation,1.8,adventure,104.9,avengers,1.5,barney,1.4,grail,1.4,jungle,1.8,autobiographical,0.8,martial,12.0,cyberpunk,2.2,exorcism,2.0,doo,1.8
dome,0.7,manufacturing,0.8,innuendo,1.4,hercules,1.2,nightmares,0.3,alchemy,1.7,genocide,1.0,cricket,0.8,chess,0.4,cosmos,1.7,action,104.1,fallon,1.5,reenactment,1.4,grim,1.2,psychedelic,1.5,continents,0.5,seinen,10.1,starship,2.0,environmentalism,1.5,amnesia,1.7
illustrator,0.6,cougar,0.6,camelot,1.1,builder,1.0,greenfield,0.1,slasher,1.7,antarctica,0.9,massage,0.8,bewitched,0.4,tyranny,1.1,romance,96.4,panther,1.1,opposites,1.3,standoff,0.7,hunted,1.4,antique,0.5,dragon,9.7,ufo,1.8,turtles,1.4,tennyson,1.1
architect,0.6,korra,0.6,merlin,0.9,pradesh,0.8,tvshowsondvd,0.1,detection,1.3,liars,0.9,rocko,0.6,kentucky,0.4,cuisine,1.0,mystery,83.7,invention,1.0,catastrophe,1.2,improvisation,0.7,gladiator,1.2,drowned,0.5,japanese,8.2,hiv,1.3,blackout,1.2,peele,0.9
mozart,0.5,postman,0.6,jurassic,0.8,torchwood,0.7,osman,0.1,ripper,1.2,railroad,0.8,kardashian,0.6,stash,0.2,bronx,0.8,fantasy,70.3,kentucky,0.7,silicon,1.1,improvised,0.6,rugrats,0.9,paralegal,0.5,tragedy,7.6,enterprise,1.3,osman,1.0,graffiti,0.7
morphine,0.4,salvation,0.5,quantum,0.6,flu,0.6,hiv,0.1,roswell,1.2,pawn,0.7,lifeguard,0.5,cycles,0.2,showbiz,0.7,thriller,61.0,kimmel,0.7,dinosaurs,0.9,chainsaw,0.5,spongebob,0.9,polo,0.5,terrorism,7.0,gaming,1.1,constantine,0.7,jetix,0.7
autistic,0.4,catastrophe,0.4,booster,0.6,jag,0.5,choi,0.1,alchemist,1.2,lantern,0.7,unintended,0.5,booster,0.1,quantico,0.7,novel,59.9,feige,0.7,nursing,0.8,siege,0.5,tsubasa,0.8,reenactment,0.5,mockumentary,6.8,magnum,1.1,turtle,0.7,siren,0.7
strait,0.4,folklore,0.4,afro,0.6,bertie,0.4,conversion,0.1,transformers,1.2,rowe,0.7,swimming,0.4,counts,0.1,ineptitude,0.6,documentary,55.8,poetry,0.7,outpost,0.7,shipwreck,0.5,asteroid,0.7,accused,0.4,slice,6.5,gamer,1.0,neurosurgeon,0.6,volcano,0.6
withdrawal,0.4,norse,0.4,improv,0.6,panini,0.4,crying,0.1,cannabis,1.1,incest,0.6,hostages,0.2,catastrophic,0.1,ferb,0.6,horror,53.7,evangelion,0.6,caveman,0.6,uncharted,0.5,eureka,0.7,iowa,0.4,dramedy,6.2,picard,0.9,wildlife,0.6,gorilla,0.6
invisible,0.3,wellness,0.4,improvisation,0.5,bisexuality,0.3,deen,0.1,promiscuity,1.0,steed,0.6,rishi,0.1,trends,0.1,spacetime,0.6,sitcom,48.8,dimensions,0.6,midwife,0.5,saber,0.4,spartacus,0.7,wrongfully,0.3,tournament,5.4,aids,0.9,staten,0.5,shaggy,0.6
atypical,0.2,ambulance,0.4,fireworks,0.5,hasbro,0.1,abdul,0.1,ghostly,0.8,recess,0.5,colossal,0.1,orphanage,0.1,phineas,0.5,book,47.6,empress,0.6,aquatic,0.5,eater,0.4,unicorn,0.6,nashville,0.3,japan,5.4,futuristic,0.9,cursed,0.5,poisoning,0.5
gilchrist,0.1,spirituality,0.3,improvised,0.5,bye,0.1,devious,0.1,erotic,0.7,excalibur,0.5,disparage,0.1,harrowing,0.1,astronomer,0.5,sci,46.0,nobility,0.6,intruder,0.5,improvisational,0.1,godfather,0.6,tennessee,0.3,arts,5.2,mmorpg,0.9,optimism,0.5,bunker,0.5
divorcee,0.1,versus,0.3,bicker,0.4,milner,0.1,gown,0.1,housing,0.7,geeks,0.5,howe,0.1,carina,0.1,institutional,0.5,miniseries,45.7,docudrama,0.5,biologist,0.5,orsini,0.1,dictatorship,0.6,elevator,0.2,webtoon,5.1,roddenberry,0.9,teleportation,0.5,aqua,0.5
nika,0.1,buddhism,0.3,pharaoh,0.4,abhishek,0.1,kardashian,0.1,tong,0.6,diplomacy,0.5,flirtation,0.1,teammates,0.1,docudrama,0.5,murder,42.6,wandavision,0.5,providence,0.4,vatican,0.1,ripper,0.6,eui,0.1,angst,5.0,misunderstanding,0.8,hun,0.5,serling,0.5
okuda,0.1,intervenes,0.1,callback,0.4,adoption,0.1,scholarly,0.1,vermont,0.6,felon,0.4,flirty,0.1,proportion,0.1,culinary,0.4,detective,41.6,dickinson,0.5,kimetsu,0.4,gamecube,0.1,copycat,0.6,ape,0.1,outlaw,4.9,chappelle,0.8,werewolf,0.5,vinci,0.4
sasaki,0.1,conversion,0.1,milner,0.3,admitted,0.1,firstly,0.1,unfaithful,0.6,avengers,0.4,distorted,0.1,humiliation,0.1,mash,0.4,biography,41.3,reenactment,0.5,partisan,0.4,lux,0.1,dictator,0.5,designers,0.1,deed,4.4,starfleet,0.8,spirituality,0.5,mysticism,0.4
gems,0.1,steampunk,0.1,ansari,0.3,osaka,0.1,doubtful,0.1,mathematics,0.6,mulder,0.4,unworthy,0.1,carlsen,0.1,solar,0.4,investigation,40.3,loeb,0.5,convent,0.4,villa,0.1,capitalism,0.5,unicorn,0.1,webcomic,4.4,voyager,0.8,exorcist,0.5,symbolism,0.4
shanghai,0.1,maura,0.1,aristocracy,0.3,bengali,0.1,instructions,0.1,hipster,0.6,overtones,0.3,processing,0.1,perfection,0.1,mathematics,0.4,school,40.3,rishi,0.4,homemade,0.3,magi,0.1,dormitory,0.4,kemp,0.1,cyberpunk,4.3,gymnastics,0.8,laziness,0.4,inventor,0.3
butterfly,0.1,usurp,0.1,estrangement,0.2,asher,0.1,peninsula,0.1,otaku,0.6,aya,0.3,nut,0.1,choreographed,0.1,biology,0.3,police,39.8,airline,0.4,yaiba,0.3,compound,0.1,squarepants,0.4,airlines,0.1,mecha,4.1,weasel,0.7,blizzard,0.4,tails,0.3
symphony,0.1,humiliation,0.1,physics,0.2,attenborough,0.1,symbols,0.1,bucket,0.5,freaks,0.2,individuality,0.1,npd,0.1,calendar,0.3,history,35.5,imperial,0.4,americana,0.3,waves,0.1,savannah,0.4,chong,0.1,samurai,4.1,xena,0.7,conqueror,0.4,battlefield,0.3
conductor,0.1,pollution,0.1,augment,0.2,saves,0.1,tread,0.1,cosplay,0.5,merlin,0.1,utopia,0.1,winners,0.1,macon,0.2,superhero,35.1,hawkeye,0.4,ghouls,0.3,seventy,0.1,attenborough,0.4,entities,0.1,harem,4.0,glee,0.7,apparition,0.4,welker,0.2
councilman,0.1,stands,0.1,englishman,0.2,awe,0.1,backward,0.1,gangs,0.5,mccord,0.1,cantankerous,0.1,brunette,0.1,cooking,0.1,supernatural,34.1,oppression,0.4,spear,0.2,descriptions,0.1,csupo,0.4,regulations,0.1,drastic,4.0,locomotive,0.7,mayfair,0.4,pup,0.2
expenses,0.1,reinvigorate,0.1,conversion,0.2,ubisoft,0.1,masturbation,0.1,furry,0.5,sorcery,0.1,surrealism,0.1,resistant,0.1,overseer,0.1,alien,32.3,starve,0.4,maternity,0.1,caps,0.1,invisible,0.3,wonders,0.1,airplane,4.0,ponzi,0.6,warming,0.4,colossal,0.1
wireless,0.1,extramarital,0.1,commodore,0.2,lifeforms,0.1,obscenity,0.1,housework,0.5,slasher,0.1,climbing,0.1,electrical,0.1,nikolai,0.1,england,30.5,genocide,0.4,mizuno,0.1,sadness,0.1,klasky,0.3,fearing,0.1,animation,4.0,pony,0.6,battlefield,0.4,stooges,0.1
challenger,0.1,gorilla,0.1,infidelity,0.2,grail,0.1,ankle,0.1,vikings,0.5,folklore,0.1,warp,0.1,pawn,0.1,aja,0.1,war,30.1,holocaust,0.4,primal,0.1,duchess,0.1,migration,0.3,disastrous,0.1,immortality,3.9,overlord,0.6,ninja,0.3,doe,0.1
waves,0.1,janine,0.1,reunited,0.2,kenan,0.1,redirect,0.1,beating,0.5,canine,0.1,rowdy,0.1,daze,0.1,choi,0.1,friendship,30.0,austria,0.4,attenborough,0.1,wager,0.1,underwater,0.2,jenn,0.1,bounty,3.9,daria,0.6,magi,0.3,cher,0.1
arri,0.1,mint,0.1,beatrice,0.2,humanitas,0.1,casablanca,0.1,kimmy,0.4,fuentes,0.1,agreements,0.1,mathematics,0.1,rca,0.1,power,30.0,symbolism,0.3,ikeda,0.1,swordsman,0.1,crab,0.2,artificially,0.1,volume,3.9,kgb,0.6,flashforward,0.3,twilight,0.1
